,name,sentence_num
5,Charles,13
6,Dante,13
7,Charles,14
8,Dante,14
15,Rody Kickham,33
16,Nasty Roche,33
28,Arnall,91
29,Dante,91
30,Charles,91
39,Jack Lawton,124
40,Arnall,124
52,Stephen Dedalus,215
56,Dante,236
57,Casey,236
58,Charles,236
59,Dante,291
60,Charles,291
66,Michael,423
78,Athy,489
79,Michael,489
81,Dedalus,495
82,Athy,495
87,Charles,563
88,Dante,563
89,Casey,563
93,Casey,568
94,Queen Victoria,568
97,Dante,576
98,Riordan,576
111,Dedalus,616
112,Riordan,616
129,Riordan,660
130,Dedalus,660
134,Dante,666
135,Dedalus,666
138,Charles,672
143,Charles,695
144,Casey,695
145,Dedalus,696
146,Dante,696
148,Billy,715
149,Armagh,715
157,Dedalus,744
158,Dante,744
168,Casey,761
169,John,761
171,Eileen,770
181,Casey,803
185,Kitty O’Shea,821
186,Casey,821
198,Dante,861
199,Casey,861
200,Dedalus,865
201,Riordan,865
204,John,871
209,Charles,883
210,Casey,883
215,Cecil Thunder,905
217,Athy,953
218,Athy,954
219,Simon Moonan,954
229,Simon Moonan,1010
230,Athy,1010
231,Corrigan,1013
232,Athy,1013
239,Cecil Thunder,1047
240,Corrigan,1047
244,Jack Lawton,1079
248,Arnall,1087
249,Kneel,1087
252,Arnall,1100
253,Paddy Barrett,1100
265,Nasty Roche,1224
273,Jimmy Magee,1260
274,Corrigan,1260
277,Ignatius Loyola,1291
278,Francis Xavier,1291
279,Lorenzo Ricci,1291
280,Stanislaus Kostka,1291
281,Aloysius Gonzago,1291
282,Blessed John Berchmans,1291
283,Peter Kenny,1291
300,Mike Flynn,1385
317,Roderick Kickham,1523
318,John Lawton,1523
319,Anthony MacSwiney,1523
325,Dedalus,1553
326,Maurice,1553
333,Dolan,1580
350,Cardinal Newman,1736
351,Dedalus,1736
356,Tyson,1761
357,Alec Kafoozelum,1761
367,Harry Peard,1936
368,Bob Dyas,1936
369,Maurice Moriarty,1936
370,Tom,1936
371,Mick Lacy,1936
372,Joey Corbet,1936
373,Johnny Keevers,1936
383,Tim,2038
384,Tom,2038
388,Henry Grattan,2070
389,Charles Kendal Bushe,2070
397,Francis Xavier,2274
436,Clontarf Chapel,3281
437,Clontail Chapel,3281
445,Stephaneforos,3342
447,Shuley,3354
448,Connolly,3354
453,Guido Cavalcanti,3494
454,Ibsen,3494
455,Liffey,3494
456,Ben Jonson,3494
458,John Duncan,3534
459,William Malcolm Inverarity,3534
461,Davin,3542
462,Michael Cusack,3542
492,Moynihan,3889
493,John Anthony,3889
494,Lottie Collins,3889
495,Moynihan,3890
496,John Anthony Collins,3890
502,Stevie,3999
503,Davin,3999
517,Stevie,4052
518,Davin,4052
560,Francis Forster,4649
561,Clanbrassil,4649
570,Dixon,4789
571,Goggins,4789
572,Glynn,4789
587,Davin,4866
592,Rosie,5033
600,William Bond,5220
601,William,5220
